Part;Value;Device;Package;Description;ARROW_PART_NUMBER;ARROW_PRICE/STOCK;DESCRIPTION;HEIGHT;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;PROD_ID;RS_PART_NUMBER;RS_PRICE/STOCK;SF_SKU;SPICEPREFIX;VALUE
C1;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;;;;;;;C;
C2;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;;;;;;;C;
S1;;MOMENTARY-SWITCH-SPST-2-SMD-5.2MM;TACTILE_SWITCH_SMD_5.2MM;Momentary Switch (Pushbutton) - SPST - Two Circuits;;;;;;;;;;;;
U1;MCP1700T-3302E/TT;MCP1700T-3302E/TT;MCP1700T-3302E/TT;"Microchip LDO MCP1700"" in a 3-Pin SOT-23 package.""";;;;;;;;;;;;
U2;TXB0104D;TXB0104D;SOIC127P600X175-14N;4-BIT BIDIRECTIONAL VOLTAGE-LEVEL TRANSLATOR  WITH AUTOMATIC DIRECTION SENSING AND 15-kV ESD PROTECTION;TXB0104D;https://www.arrow.com/en/products/txb0104d/texas-instruments;4-BIT BIDIRECTIONAL VOLTAGE-LEVEL TRANSLATOR  WITH AUTOMATIC DIRECTION SENSING AND 15-kV ESD PROTECTION;mm;Texas Instruments;TXB0104D;;;;;;
U3;W25Q128FV;SPI_FLASH-X25XXSMD1;SO08-EIAJ;128M Serial Flash Memory;;;;;;;;;;;;W25Q128FV
